Unnamed: 0,ip_src,ip_dst,prt_src,prt_dst,proto,fwd_num_pkts,bwd_num_pkts,fwd_mean_iat,bwd_mean_iat,fwd_std_iat,bwd_std_iat,fwd_min_iat,bwd_min_iat,fwd_max_iat,bwd_max_iat,fwd_mean_offset,bwd_mean_offset,fwd_mean_pkt_len,bwd_mean_pkt_len,fwd_std_pkt_len,bwd_std_pkt_len,fwd_min_pkt_len,bwd_min_pkt_len,fwd_max_pkt_len,bwd_max_pkt_len,fwd_num_bytes,bwd_num_bytes,fwd_num_psh_flags,bwd_num_psh_flags,fwd_num_rst_flags,bwd_num_rst_flags,fwd_num_urg_flags,bwd_num_urg_flags
323,192.168.10.12,192.168.10.50,41036,22,6,44,46,0.029377770978351,0.028068733215332,0.151912997837471,0.140775226876029,0,0,0.996292114257812,0.953350782394409,0.23414562469305,0.20620837741428,112.909090909091,203.521739130435,105.829583890547,303.852062053834,52,52,508,1028,4968,9362,24,26,0,0,0,0
369,192.168.10.12,192.168.10.50,41038,22,6,44,44,0.030322119247082,0.03031944119653,0.152140145546173,0.143856276616469,9.5367431640625E-07,0,0.996901988983154,0.953417062759399,0.261995470801065,0.233787614245747,114.363636363636,203.136363636364,106.136509635874,309.629734221456,52,52,508,1028,5032,8938,24,24,0,0,0,0
372,192.168.10.50,192.168.10.3,60542,3268,6,144,74,5.3285136506274,10.4380425492378,13.9782170997548,18.1558364040676,1.9073486328125E-06,9.5367431640625E-07,78.5816349983215,78.5820939540863,381.005033448026,394.048493666192,248.694444444444,119.459459459459,200.761649647376,18.9944438456385,52,40,455,124,35812,8840,72,70,0,4,0,0
373,192.168.10.50,192.168.10.3,33324,389,6,168,86,5.257365897744,10.329174117481,13.9362208515294,18.1494340871905,9.5367431640625E-07,1.9073486328125E-06,78.5817799568176,78.5821580886841,447.584645299854,460.340245319815,249.380952380952,352.744186046512,200.874333184771,69.073635472304,52,40,455,368,41896,30336,84,82,0,4,0,0
564,192.168.10.16,192.168.10.50,37624,21,6,22,28,0.00677448227292,0.005266189575195,0.026876256265419,0.017382581381659,9.5367431640625E-07,0,0.126424074172974,0.082976818084717,0.078361567996797,0.093911621305678,60.7272727272727,68.2857142857143,11.7866712788094,15.484686312744,52,52,95,104,1336,1912,12,16,0,0,0,0
576,192.168.10.16,192.168.10.50,40366,36743,6,19,10,0.000667664739821,0.001298003726535,0.002142154475261,0.002978158472546,9.5367431640625E-07,9.5367431640625E-07,0.009305000305176,0.009502172470093,0.008853501743741,0.009417136510213,1132.52631578947,53.6,1092.44787270178,3.2,52,52,2948,60,21518,536,4,0,0,0,0,0
853,192.168.10.17,192.168.10.50,56058,22,6,44,46,0.029187141462814,0.027886332405938,0.151511534511207,0.140879543991188,0,9.5367431640625E-07,0.995965003967285,0.95507001876831,0.232059938963069,0.20371454556783,112.909090909091,203.521739130435,105.829583890547,303.852062053834,52,52,508,1028,4968,9362,24,26,0,0,0,0
857,172.16.0.1,192.168.10.51,45022,444,6,27402,20149,0.043195407289053,0.058743195150825,0.20361968626638,0.235428659219284,0,9.5367431640625E-07,5.02570199966431,5.02498388290405,594.582226131707,596.825452099025,55.1227282680096,3886.63943620031,23.9622786616444,2411.51606864698,52,52,1538,17428,1510473,78311898,1179,1581,0,0,0,0
877,192.168.10.17,192.168.10.50,56059,22,6,44,44,0.02978064847547,0.029776279316392,0.152008669422501,0.144104548095643,0,9.5367431640625E-07,0.997225046157837,0.955054044723511,0.247374091037484,0.217876611753952,114.363636363636,203.136363636364,106.136509635874,309.629734221456,52,52,508,1028,5032,8938,24,24,0,0,0,0
965,192.168.10.50,192.168.10.51,139,35514,6,2,4,3.09944152832031E-06,29.0142477353414,0,41.0323375917509,3.09944152832031E-06,3.09944152832031E-06,3.09944152832031E-06,87.0427360534668,3.09944152832031E-06,58.0284957885742,56,52,0,0,56,52,56,52,112,208,2,0,0,2,0,0
